Issue key,Issue id,Parent id,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
NCIS-431,651143,644062,NCIS Sprint 12,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-432,652602,408324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-433,653175,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-434,655730,646328,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,
NCIS-435,655738,644062,NCIS Sprint 12,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-436,656183,,,,,,,,
NCIS-437,656194,,,,,,,,
NCIS-438,656195,,,,,,,,
NCIS-439,656196,,,,,,,,
NCIS-440,657987,408306,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-441,657988,408306,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-442,657989,408312,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-443,658793,646324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-444,658842,646324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-445,658998,408324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-446,659966,646328,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,
NCIS-447,659967,408324,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-448,660524,,,,,,,,
NCIS-449,660526,,NCIS Sprint 17,NCIS Sprint 18,,,,,
NCIS-450,660527,,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-451,660528,,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-452,660529,,,,,,,,
NCIS-453,660530,,NCIS Sprint 15,,,,,,
NCIS-454,660531,,NCIS Blocked,,,,,,
NCIS-455,660532,,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,,
NCIS-456,660533,,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,,
NCIS-457,660534,,NCIS Blocked,,,,,,
NCIS-458,660535,,,,,,,,
NCIS-459,662123,660527,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-460,662308,660533,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,,
NCIS-461,663556,660532,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,,
NCIS-462,664862,,,,,,,,
NCIS-465,665119,,,,,,,,
NCIS-466,665275,,,,,,,,
NCIS-467,666385,,NCIS Sprint 13,,,,,,
NCIS-468,666387,,NCIS Sprint 13,,,,,,
NCIS-469,666401,,,,,,,,
NCIS-470,666403,,NCIS Sprint 18,,,,,,
NCIS-471,666405,,,,,,,,
NCIS-472,666407,,NCIS Blocked,,,,,,
NCIS-473,666859,660527,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-474,666862,660527,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-475,666863,660527,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-476,666865,660527,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-477,672879,,NCIS Sprint 18,,,,,,
NCIS-478,672886,,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-479,673432,,NCIS Sprint 18,,,,,,
NCIS-480,675116,,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
NCIS-481,675117,,NCIS Sprint 18,,,,,,
NCIS-482,677560,646327,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-483,677718,646327,NCIS Sprint 12,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,
NCIS-484,677722,660533,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,,
NCIS-485,677723,660533,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,,
NCIS-486,677726,660530,NCIS Sprint 15,,,,,,
NCIS-487,681589,646328,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,
NCIS-488,681737,646328,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,
NCIS-489,681648,,NCIS Sprint 15,NCIS Sprint 16,NCIS Sprint 17,NCIS Sprint 18,,,
